Email-id,User Name,Password,Comments (optional),Temp auth e-mail (optional),Department,Status,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,Group16,Group17,Group18,Group19,Group20,Group21,Group22,Group23,Group24,Group25,Group26,Group27,Group28,Group29,Group30,Group31,Group32,Group33,Group34,Group35,Group36,Group37,Group38,Group39,Group40,Group41,Group42,Group43,Group44,Group45,Group46,Group47,Group48,Group49,Group50,Group51,Group52,Group53,Group54,Group55,Group56,Group57,Group58,Group59,Group60,Group61,Group62,Group63,Group64,Group65,Group66,Group67,Group68,Group69,Group70,Group71,Group72,Group73,Group74,Group75,Group76,Group77,Group78,Group79,Group80,Group81,Group82,Group83,Group84,Group85,Group86,Group87,Group88,Group89,Group90,Group91,Group92,Group93,Group94,Group95,Group96,Group97,Group98,Group99,Group100,Group101,Group102,Group103,Group104,Group105,Group106,Group107,Group108,Group109,Group110,Group111,Group112,Group113,Group114,Group115,Group116,Group117,Group118,Group119,Group120,Group121,Group122,Group123,Group124,Group125,Group126,Group127,Group128
aaaa@nithin.com,"aaaa", , , ,"Service Admin","Enabled","Service Admin"
aakash@nithin.com,"aakash", , , ,"Service Admin","Enabled","Service Admin"
abc@nithin.com,"abc", , , ,"Service Admin","Enabled","Service Admin"
admin6@nithin.com,"Admin 6", , , ,"testdept","Enabled","Service Admin"
auditor@nithin.com,"Auditor", , , ,"Service Admin","Enabled","Service Admin"
auto@nithin.com,"auto", , , ,"Service Admin","Enabled","Service Admin"
avijit@nithin.com,"avijit", , , ,"Service Admin","Enabled","Service Admin"
ayanna.sawyer@nithin.com,"Ayanna Sawyer", , , ,"Service Admin","Enabled","Service Admin"
benjamin.howorth@nithin.com,"Benjamin Howorth", , , ,"Service Admin","Enabled","Service Admin"
chris.leach@nithin.com,"Chris Leach", , , ,"Service Admin","Enabled","Service Admin"
christy.prince@nithin.com,"Christy Prince", , , ,"Service Admin","Enabled","Service Admin"
convertadmin@nithin.com,"Convertadmin", ,"convertuser", ,"testdept","Enabled","test admin group"
devidp@nithin.com,"Devdutta natu", , , ,"Service Admin","Enabled","Service Admin"
email@nithin.com,"email", , , ,"Service Admin","Enabled","Service Admin"
helen.higinio@nithin.com,"Helen Higinio", , , ,"Service Admin","Enabled","Service Admin"
izamar.flores@nithin.com,"Izamar Flores", , , ,"Service Admin","Enabled","Service Admin"
jan.lineberry@nithin.com,"Jan Lineberry", , , ,"Service Admin","Enabled","Service Admin"
john.doe1@nithin.com,"John", ,"CSV Imported user", ,"Department1","Enabled","asdf","Group1","Group2","Group3"
julia.ziobro@nithin.com,"Julia Ziobro", , , ,"Service Admin","Enabled","Service Admin"
kannan@nithin.com,"Kannan", , , ,"Service Admin","Enabled","Service Admin"
molly.pickard@nithin.com,"Molly Pickard", , , ,"Service Admin","Enabled","Service Admin"
mounika1@nithin.com,"Mounika", , , ,"Service Admin","Enabled","Service Admin"
mounika@nithin.com,"Mounika", , , ,"Service Admin","Enabled","Service Admin"
namrata.havaldar@nithin.com,"Namrata Havaldar", , , ,"Service Admin","Enabled","Service Admin"
niveditha.natarajan@nithin.com,"Niveditha Natarajan", , , ,"Service Admin","Enabled","Service Admin"
noah.abrahams@nithin.com,"Noah Abrahams", , , ,"Service Admin","Enabled","Service Admin"
noauthscope@nithin.com,"noauthscope", , , ,"Service Admin","Enabled","Service Admin"
nogre@nithin.com,"nogre", , , ,"Service Admin","Enabled","Service Admin"
noperm@nithin.com,"NoPerm", , , ,"Service Admin","Enabled","Service Admin"
nostaticip@nithin.com,"nostaticip", , , ,"Service Admin","Enabled","Service Admin"
nostaticnogre@nithin.com,"nostaticnogre", , , ,"Service Admin","Enabled","Service Admin"
notenant@nithin.com,"notenant", , , ,"Service Admin","Enabled","Service Admin"
nozcc@nithin.com,"NoZcc", , , ,"Service Admin","Enabled","Service Admin"
policyviewonly@nithin.com,"Nithin", , , ,"Service Admin","Enabled","Service Admin"
prateek@nithin.com,"prateek", , , ,"Service Admin","Enabled","Service Admin"
pushkar@nithin.com,"Pushkar", ,"test 3", ,"Service Admin","Enabled","Service Admin"
rank7@nithin.com,"Rank", , , ,"Service Admin","Enabled","Service Admin"
readonly@nithin.com,"nithin.com", , , ,"Service Admin","Enabled","Service Admin"
regular_admin_1@nithin.com,"regAdmin", , , ,"Service Admin","Enabled","Service Admin"
rekha.ramakrishnan@nithin.com,"Rekha Ramakrishnan", , , ,"Service Admin","Enabled","Service Admin"
sunita.verma@nithin.com,"Sunita Verma", , , ,"Service Admin","Enabled","Service Admin"
test12345_test12345678@nithin.com,"Monika", , , ,"Service Admin","Enabled","Service Admin"
test123@nithin.com,"Test", , ,mmikkilineni@zscaler.com,"Default Admin","Enabled","Service Admin"
test21@nithin.com,"test21", ,"test", ,"john.doe1@test.com","Enabled","john.doe1@test.com"
test89@nithin.com,"test123", , , ,"Service Admin","Enabled","Service Admin"
test@nithin.com,"Test User", , , ,"Service Admin","Enabled","Service Admin"
test_67890.testing@nithin.com,"Mounika", , , ,"Service Admin","Enabled","Service Admin"
testbug@nithin.com,"TESTTEST1", , , ,"Service Admin","Enabled","Service Admin"
testbugonprioirity@nithin.com,"TESTBUG", , , ,"Service Admin","Enabled","Service Admin"
testemail@nithin.com,"testemail", , , ,"Service Admin","Enabled","Service Admin"
testmobile@nithin.com,"test21", , , ,"Service Admin","Enabled","Service Admin"
testmounika123@nithin.com,"Mounika", , , ,"Service Admin","Enabled","Service Admin"
testmounika@nithin.com,"Mounika", , , ,"Service Admin","Enabled","Service Admin"
testuser@nithin.com,"Mounika", , , ,"Service Admin","Enabled","Service Admin"
tttt@nithin.com,"ssss", , , ,"Service Admin","Enabled","Service Admin"
tushar@nithin.com,"Tushar", , , ,"Service Admin","Enabled","Service Admin"
ugandra.s@nithin.com,"Ugandra S", , , ,"Service Admin","Enabled","Service Admin"
vinod@nithin.com,"vinod", , , ,"Service Admin","Enabled","Service Admin"
vishnu.neeli@nithin.com,"Vishnu Neeli", , , ,"Service Admin","Enabled","Service Admin"
ww10@nithin.com,"ww10", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww11@nithin.com,"ww11", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
